First Name,Last Name,Country,Number,Team Name
Andrew,TALANSKY ,USA,161,TEAM CANNONDALE-GARMIN
Jack,BAUER ,AUS,162,TEAM CANNONDALE-GARMIN
Nathan,HAAS ,AUS,163,TEAM CANNONDALE-GARMIN
Ryder,HESJEDAL ,CAN,164,TEAM CANNONDALE-GARMIN
Kristijan,KOREN ,SLO,165,TEAM CANNONDALE-GARMIN
Sebastian,LANGEVELD ,NED,166,TEAM CANNONDALE-GARMIN
Daniel,MARTIN ,IRL,167,TEAM CANNONDALE-GARMIN
Ramunas,NAVARDAUSKAS ,LTU,168,TEAM CANNONDALE-GARMIN
Dylan,VAN BAARLE ,NED,169,TEAM CANNONDALE-GARMIN
Nacer,BOUHANNI ,FRA,171,"COFIDIS, SOLUTIONS CREDITS"
Nicolas,EDET ,FRA,172,"COFIDIS, SOLUTIONS CREDITS"
Christophe,LAPORTE ,FRA,173,"COFIDIS, SOLUTIONS CREDITS"
Luis Angel,MATE MARDONES ,ESP,174,"COFIDIS, SOLUTIONS CREDITS"
Daniel,NAVARRO GARCIA ,ESP,175,"COFIDIS, SOLUTIONS CREDITS"
Florian,SENECHAL ,FRA,176,"COFIDIS, SOLUTIONS CREDITS"
Julien,SIMON ,FRA,177,"COFIDIS, SOLUTIONS CREDITS"
Geoffrey,SOUPE,FRA,178,"COFIDIS, SOLUTIONS CREDITS"
Kenneth,VANBILSEN ,BEL,179,"COFIDIS, SOLUTIONS CREDITS"
Mathias,FRANK ,SUI,181,IAM CYCLING
Matthias,BRANDLE ,AUT,182,IAM CYCLING
Sylvain,CHAVANEL ,FRA,183,IAM CYCLING
Stef,CLEMENT ,NED,184,IAM CYCLING
Jerome,COPPEL ,FRA,185,IAM CYCLING
Martin,ELMIGER ,SUI,186,IAM CYCLING
Reto,HOLLENSTEIN ,SUI,187,IAM CYCLING
Jarlinson,PANTANO GOMEZ ,COL,188,IAM CYCLING
Marcel,WYSS ,SUI,189,IAM CYCLING
Dominik,NERZ ,GER,191,BORA-ARGON 18
Jan,BARTA ,CZE,192,BORA-ARGON 18
Sam,BENNETT ,IRL,193,BORA-ARGON 18
Emanuel,BUCHMANN ,GER,194,BORA-ARGON 18
Zakkari,DEMPSTER ,AUS,195,BORA-ARGON 18
Bartosz,HUZARSKI ,POL,196,BORA-ARGON 18
Jose Joao,PIMANTA COSTA MENDES ,POR,197,BORA-ARGON 18
Andreas,SCHILLINGER ,GER,198,BORA-ARGON 18
Paul,VOSS ,GER,199,BORA-ARGON 18
Eduardo,SEPULVEDA ,ARG,201,BRETAGNE - SECHE ENVIRONNEMENT
Frederic,BRUN ,FRA,202,BRETAGNE - SECHE ENVIRONNEMENT
Anthony,DELAPLACE ,FRA,203,BRETAGNE - SECHE ENVIRONNEMENT
Pierrick,FEDRIGO ,FRA,204,BRETAGNE - SECHE ENVIRONNEMENT
Brice,FEILLU ,FRA,205,BRETAGNE - SECHE ENVIRONNEMENT
Armindo,FONSECA ,FRA,206,BRETAGNE - SECHE ENVIRONNEMENT
Arnaud,GERARD ,FRA,207,BRETAGNE - SECHE ENVIRONNEMENT
Pierre-Luc,PERICHON ,FRA,208,BRETAGNE - SECHE ENVIRONNEMENT
Florian,VACHON ,FRA,209,BRETAGNE - SECHE ENVIRONNEMENT
Edvald,BOASSON HAGEN ,NOR,211,MTN-QHUBEKA
Stephen,CUMMINGS ,GBR,212,MTN-QHUBEKA
Tyler,FARRAR ,USA,213,MTN-QHUBEKA
Jacques,JANSE VAN RENSBURG ,RSA,214,MTN-QHUBEKA
Reinardt,JANSE VAN RENSBURG ,RSA,215,MTN-QHUBEKA
Merhawi,KUDUS GHEBREMEDHIN ,ERI,216,MTN-QHUBEKA
Louis,MEINTJES ,RSA,217,MTN-QHUBEKA
Serge,PAUWELS ,BEL,218,MTN-QHUBEKA
Daniel,TEKLEHAIMANOT ,ERI,219,MTN-QHUBEKA
