Date,Time,Location,Operator,Flight Number,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground
09/13/02,13:41,"Pucallpa, Peru",Aero Pantanal - Air Taxi,619,Unknown,Cessna U206G,OB-1226,CU20606136,6,6,0
09/14/02,12:00,"Paranapanema, Sao Paulo, Brazil",Total  Air Lines,620,Guarulhos - Londrina,ATR 42-300,PT-MTS,26,2,2,0
09/28/02,11:35,"Near Natashquan, Quebec, Canada",Deraps Aviation,621,Lake de l'Avion - Agunish River,de Havilland Canada DHC-3 Otter,C-FLGA,279,4,3,0
10/01/2002,12:00,"Vasco, India",Military - Indian Navy,622,Military exercises,Ilyushin IL-38 / Ilyushin IL-38,IN302 / IN304,IL38002/IL38004,12,12,5
10/07/2002,09:10,"Santa Cruz do Sul, Brazil",American Virginia,623,Unknown,Learjet 60,N5027Q,60-242,5,1,0
10/23/02,19:45,"Spanish Fort, Alabama",Mid-AtlantiFreight,624,Mobile - Mongomery,Cessna 208B Cargomaster I,N76U,208B-0775,1,1,0
10/25/02,10:22,"Eveleth, Minnesota",Aviation Charter - Air Taxi,625,St. Paul - Eveleth,Beechcraft King Air A100,N41BE,B-245,8,8,0
11/06/2002,10:10,"Near Niederanven, Luxembourg",Luxair,626,"Berlin, Germany - Luxembourg",Fokker 50,LX-LGB,20221,22,20,0
11/07/2002,10:27,"Tarakan, Indonesia",Dirgantara Air Services,627,Tarakan - Long Bawan,Britten-Norman BN-2A-21,PK-VIZ,697,10,7,0
11/08/2002,14:58,"Taos, New Mexico",Richmor Aviation,628,"Las Vegas, NV - Taos, NM",IAI 1124A Westwind,N61RS,384,2,2,0
11/11/2002,06:09,"Manila, Philippines",Laoag International Airlines,629,Manila - Laoag,Fokker F27 Friendship 100,RP-C6888,10571,34,19,0
11/28/02,14:15,"Masai Mara Game Reserve, Kenya",Eagle Aviation,630,Ol Kiombo - Mombasa,Let 410UVP-E20,5Y-ONT,871812,20,1,0
12/09/2002,11:41,"Mena, Arkansas",Raytheon Aircraft,631,"Wichita, KS - Mena, AR",Beechcraft 1900C,N127YV,1990,3,3,0
12/13/02,12:00,"Gohu Airstrip, Papua New Guinea",Island Airways Ltd.,632,Gohu - Madang,Britten-Norman BN-2A-26 Islander,P2-CBB,140,8,8,0
11/15/03,18:30,"Mosul, Iraq",Military - U.S. Army,633,Unknown,UH-60 Black Hawk / UH-60 Black Hawk, / ,Unknown,22,17,0
12/17/02,22:51,"Rockford, Illinois",Planemasters,634,Decatur - Rockford,Cessna 208B Caravan I Super Cargomaster,N277PM,208B-0143,1,1,0
12/21/02,01:52,"Off Pachao Tao, Taiwan",Transasia Airways,635,Taipei - Macau,Aí©rospatiale/Aeritalia ATR-72-202,B-22708,322,2,2,0
